id	en1	jp1	en2	jp2
5980	military	軍隊	He served in the military and experienced many international missions.	彼は軍隊に所属しており、多くの国際的な任務を経験しました。
5981	withdraw	撤回する、引き出す	He decided to withdraw from the program he had applied for.	彼は申し込んだプログラムから撤回することに決めました。
5982	plague	疫病、災厄	The village suffered greatly due to the plague, and many people endured hardship.	その村は疫病によって打撃を受け、多くの人が苦しみました。
5983	redeem	償還、返済	He redeemed the product with a coupon to get a discount.	彼はクーポンを使って割引を受けるためにその商品を償還しました。
5984	nominate	指名する、推薦する	We decided to nominate him as the captain of the team because he has great leadership skills.	彼は良いリーダーシップを持っているので、彼をチームのキャプテンに指名しました。
5985	awareness	意識、認識	Awareness of environmental issues is increasing.	環境問題に対する意識が高まっています。
5986	hospitality	ホスピタリティ、もてなし	Their hospitality was remarkable, warmly welcoming the visitors.	彼らのホスピタリティは素晴らしく、訪問者を温かく迎えてくれました。
5987	utterance	発話	His utterance was so emotional that it resonated with many people's hearts.	彼の発話は非常に感情的で、多くの人々の心に響きました。
5988	sequel	続編	The sequel to the movie attracted even more viewers than its predecessor.	その映画の続編は前作よりもさらに多くの観客を魅了しました。
5989	tuition	授業料	He started a part-time job to pay for his university tuition.	彼は大学の授業料を払うためにアルバイトを始めました。
5990	assumption	仮定、前提	His success is based on people's assumption.	彼の成功は人々の仮定に基づいています。
5991	transformation	変化、変形	The team underwent a significant transformation thanks to his efforts.	彼の努力によってチームは大きな変化を遂げました。
5992	toast	トースト	I enjoyed a slice of buttered toast for breakfast.	朝食にバターを塗ったトーストを一切れ楽しみました。
5993	defect	欠陥、障害	The product had a noticeable defect.	その製品には明らかな欠陥がありました。
5994	stance	立場、姿勢	His stance on the issue was very clear, and he expressed his opinions boldly.	彼の立場は非常に明確で、問題についての意見を堂々と表明しました。
5995	altitude	高度	The altitude of this mountain exceeds 3000 meters.	この山の高度は3000メートルを超えています。
5996	disguise	変装、偽装	He used a disguise to change his appearance for the party.	彼はパーティーに行くために、自分の外見を変えるために変装しました。
5997	exhaustion	疲労、疲れ切った状態	He collapsed into a chair, overwhelmed by exhaustion after the workout.	彼は運動の後、疲労で座り込んでしまいました。
5998	modernization	近代化	As modernization progresses, it is important to maintain a balance with traditional cultures.	近代化が進む中で、伝統文化とのバランスを保つことが重要です。
5999	provocation	挑発	She couldn't resist the provocation and ended up getting angry.	彼女は彼の挑発に耐えられず、つい怒ってしまった。
